,Particulars ,Current,1 - 30,31 - 60,61 - 90,> 90,TOTAL
0,A,100.0,100.0,100.0,100.0,100.0,500.0
1,B,200.0,200.0,200.0,200.0,200.0,1000.0
2,C,300.0,300.0,300.0,300.0,300.0,1500.0
3,D,400.0,400.0,400.0,400.0,400.0,2000.0
4,E,500.0,500.0,500.0,500.0,500.0,2500.0
5,F,600.0,600.0,600.0,600.0,600.0,3000.0
6,G,700.0,700.0,700.0,700.0,700.0,3500.0
7,H,800.0,800.0,800.0,800.0,800.0,4000.0
8,I,900.0,900.0,900.0,900.0,900.0,4500.0
9,J,1000.0,1000.0,1000.0,1000.0,1000.0,5000.0
10,K,1100.0,1100.0,1100.0,1100.0,1100.0,5500.0
