,ContractCode,Program,Current,0-30,31-60,60-90,90 or more
0,V900261,,100,100,100,100,100
1,V900180,,200,200,200,200,200
2,V900248,,100,100,100,100,100
3,V900273,,200,200,200,200,200
4,V900276,,200,200,200,200,200
5,V900216,,220,220,220,220,220
6,V900253,,240,240,240,240,240
7,V900221,WD,260,260,260,260,260
8,V900300,LSC,280,280,280,280,280
9,V900262,LSC,300,300,300,300,300
10,V900226,LSCO,320,320,320,320,320
11,V900256,LSC,340,340,340,340,340
12,V900202,LSCO,360,360,360,360,360
13,V900169,LSC,380,380,380,380,380
14,V900252,PA,400,400,400,400,400
15,V900284,PA,420,420,420,420,420
16,V900164,PA,440,440,440,440,440
17,V900231,PA,460,460,460,460,460
18,V900194,MC,480,480,480,480,480
19,V900211,BA,500,500,500,500,500
20,V900269,BA,520,520,520,520,520
21,V900266,BA,540,540,540,540,540
22,V900247,BA,560,560,560,560,560
23,V900217,BA,580,580,580,580,580
24,V900243,BA,600,600,600,600,600
25,V900205,,620,620,620,620,620
26,V900215,BA,640,640,640,640,640
27,V900249,BA,660,660,660,660,660
28,V900209,APA,680,680,680,680,680
29,V900219,APA,700,700,700,700,700
30,V900210,APA,720,720,720,720,720
31,V900993,APA,740,740,740,740,740
32,V900197,APA,760,760,760,760,760
33,V900222,APA,780,780,780,780,780
34,V900259,APA,800,800,800,800,800
35,V900254,APA,820,820,820,820,820
36,V900138,APA,840,840,840,840,840
37,V900185,MOA,860,860,860,860,860
38,V900268,MOA,880,880,880,880,880
39,V900189,MOA,900,900,900,900,900
40,V900144,MOA,920,920,920,920,920
41,V900228,APA,940,940,940,940,940
42,V900174,LSC,960,960,960,960,960
43,V900192\MOA,,980,980,980,980,980
44,V900162,MOA,1000,1000,1000,1000,1000
45,V900193,MOA,1020,1020,1020,1020,1020
46,V900295,PSW,1040,1040,1040,1040,1040
47,V900165,PSW,1060,1060,1060,1060,1060
48,V900257,PSW,1080,1080,1080,1080,1080
49,V900182,PSW,1100,1100,1100,1100,1100
50,V900237,PSW,1120,1120,1120,1120,1120
51,V900232,PSW,1140,1140,1140,1140,1140
52,V900306,PSW,1160,1160,1160,1160,1160
53,V900260,ITSS,1180,1180,1180,1180,1180
54,V900815,MC,1200,1200,1200,1200,1200
55,V900588,,1220,1220,1220,1220,1220
56,V900580,,1240,1240,1240,1240,1240
57,V900589,,1260,1260,1260,1260,1260
58,V900125,BA,1280,1280,1280,1280,1280
59,V900901,BA,1300,1300,1300,1300,1300
60,V900586,,1320,1320,1320,1320,1320
61,V900786,ProjAd,1340,1340,1340,1340,1340
62,V900748,,1360,1360,1360,1360,1360
63,V900631,,1380,1380,1380,1380,1380
64,V900772,,1400,1400,1400,1400,1400
65,V900624,,1420,1420,1420,1420,1420
66,V900674,,1440,1440,1440,1440,1440
67,V900783,BA,1460,1460,1460,1460,1460
68,V900752,BA,1480,1480,1480,1480,1480
69,V900646,BA,1500,1500,1500,1500,1500
70,V900758,BA,1520,1520,1520,1520,1520
71,V900996,PA,1540,1540,1540,1540,1540
72,V900970,Projad,1560,1560,1560,1560,1560
73,V900985,PA,1580,1580,1580,1580,1580
74,V900127,PA,1600,1600,1600,1600,1600
75,V900735,,1620,1620,1620,1620,1620
76,V900608,PA,1640,1640,1640,1640,1640
77,V900675,PA,1660,1660,1660,1660,1660
78,V900667,PA,1680,1680,1680,1680,1680
79,V900607,PA,1700,1700,1700,1700,1700
80,V900766,BA,1720,1720,1720,1720,1720
81,V900730,BA,1740,1740,1740,1740,1740
82,V900747,WD,1760,1760,1760,1760,1760
83,V900880,,1780,1780,1780,1780,1780
84,V900887,,1800,1800,1800,1800,1800
85,V900746,,1820,1820,1820,1820,1820
86,V900913,,1840,1840,1840,1840,1840
87,V900883,,1860,1860,1860,1860,1860
88,V900652,AP,1880,1880,1880,1880,1880
89,V900651,AP,1900,1900,1900,1900,1900
90,V900687,AP,1920,1920,1920,1920,1920
91,V900679,AP,1940,1940,1940,1940,1940
92,V900650,APA,1960,1960,1960,1960,1960
93,V900649,AP,1980,1980,1980,1980,1980
94,V900613,AP,2000,2000,2000,2000,2000
95,V900699,Projad,2020,2020,2020,2020,2020
96,V900878,PA,2040,2040,2040,2040,2040
97,V900832,PA,2060,2060,2060,2060,2060
98,V900885,PA,2080,2080,2080,2080,2080
99,V900814,PCSS,2100,2100,2100,2100,2100
100,V900770,MOA,2120,2120,2120,2120,2120
101,V900769,MOA,2140,2140,2140,2140,2140
102,V900717,BA,2160,2160,2160,2160,2160
103,V900692,BA,2180,2180,2180,2180,2180
104,V900793,LSCO,2200,2200,2200,2200,2200
105,V900659,BA,2220,2220,2220,2220,2220
106,V900664,BA,2240,2240,2240,2240,2240
107,V900849,LSC,2260,2260,2260,2260,2260
108,V900851,LSC,2280,2280,2280,2280,2280
109,V900665,BA,2300,2300,2300,2300,2300
110,V900686,BA,2320,2320,2320,2320,2320
111,V900671,BA,2340,2340,2340,2340,2340
112,V900698,BA,2360,2360,2360,2360,2360
113,V900819,na,2380,2380,2380,2380,2380
114,V900270,ITSS,2400,2400,2400,2400,2400
115,V900791,C&EP,2420,2420,2420,2420,2420
116,V900709,MOAH,2440,2440,2440,2440,2440
117,V900677,MOA,2460,2460,2460,2460,2460
118,V900620,MOA,2480,2480,2480,2480,2480
119,V900917,ITSS,2500,2500,2500,2500,2500
120,V900998,APA,2520,2520,2520,2520,2520
121,V900980,MOA,2540,2540,2540,2540,2540
122,V900129,MOA,2560,2560,2560,2560,2560
123,V900726,,2580,2580,2580,2580,2580
124,V900654,BA,2600,2600,2600,2600,2600
125,V900660,BA,2620,2620,2620,2620,2620
126,V900804,CEP,2640,2640,2640,2640,2640
127,V900847,CEP,2660,2660,2660,2660,2660
128,V900805,CEP,2680,2680,2680,2680,2680
129,V900825,CEP,2700,2700,2700,2700,2700
130,V900881,CEP,2720,2720,2720,2720,2720
131,V900582,CEP,2740,2740,2740,2740,2740
132,V900875,CEP,2760,2760,2760,2760,2760
133,V900835,CEP,2780,2780,2780,2780,2780
134,V900822,CEP,2800,2800,2800,2800,2800
135,V900872,CEP,2820,2820,2820,2820,2820
136,V900841,APA,2840,2840,2840,2840,2840
137,V900816,AP,2860,2860,2860,2860,2860
138,V900884,APA,2880,2880,2880,2880,2880
139,V900866,MOA,2900,2900,2900,2900,2900
140,V900830,MOA,2920,2920,2920,2920,2920
141,V900877,MOA,2940,2940,2940,2940,2940
142,V900597,PL,2960,2960,2960,2960,2960
143,V900669,PA,2980,2980,2980,2980,2980
144,V900736,PSW,3000,3000,3000,3000,3000
145,V900734,PSW,3020,3020,3020,3020,3020
146,V900656,BA,3040,3040,3040,3040,3040
147,V900765,MOA,3060,3060,3060,3060,3060
148,V900704,PSW,3080,3080,3080,3080,3080
149,V900575,BA,3100,3100,3100,3100,3100
150,V900615,MOA,3120,3120,3120,3120,3120
151,V900648,AP,3140,3140,3140,3140,3140
152,V900643,CEP,3160,3160,3160,3160,3160
153,V900850,PSW,3180,3180,3180,3180,3180
154,V900876,PSW,3200,3200,3200,3200,3200
155,V900745,MOA,3220,3220,3220,3220,3220
156,V900672,PA,3240,3240,3240,3240,3240
157,V900697,PA,3260,3260,3260,3260,3260
158,V900732,Projad,3280,3280,3280,3280,3280
159,V900749,BA,3300,3300,3300,3300,3300
160,V900263,MOA,3320,3320,3320,3320,3320
161,V900755,MOA,3340,3340,3340,3340,3340
162,V900708,BA,3360,3360,3360,3360,3360
163,V900668,PA X,3380,3380,3380,3380,3380
164,V900195,BA,3400,3400,3400,3400,3400
165,V900267,BA,3420,3420,3420,3420,3420
166,V900853,MOA,3440,3440,3440,3440,3440
167,V900977,MOA,3460,3460,3460,3460,3460
168,V900317,MOA,3480,3480,3480,3480,3480
169,V900286,MOA,3500,3500,3500,3500,3500
170,V900275,MOA,3520,3520,3520,3520,3520
171,V900886,MOA,3540,3540,3540,3540,3540
172,V900914,MOA,3560,3560,3560,3560,3560
173,V900938,MOA,3580,3580,3580,3580,3580
174,V900858,MOA,3600,3600,3600,3600,3600
175,V900897,MOA,3620,3620,3620,3620,3620
176,V900929,BA,3640,3640,3640,3640,3640
177,V900921,BA,3660,3660,3660,3660,3660
178,V900895,BA,3680,3680,3680,3680,3680
179,V900856,BA,3700,3700,3700,3700,3700
180,V900990,BA,3720,3720,3720,3720,3720
181,V900280,CEP,3740,3740,3740,3740,3740
182,V900932,CEP,3760,3760,3760,3760,3760
183,V900220,CEP,3780,3780,3780,3780,3780
184,V900949,CEP,3800,3800,3800,3800,3800
185,V900265,CEP,3820,3820,3820,3820,3820
186,V900843,CEP,3840,3840,3840,3840,3840
187,V900214,PA,3860,3860,3860,3860,3860
188,V900916,LSC,3880,3880,3880,3880,3880
189,V900907,LSC,3900,3900,3900,3900,3900
190,V900960,,3920,3920,3920,3920,3920
191,V900871,,3940,3940,3940,3940,3940
192,V900919,,3960,3960,3960,3960,3960
193,V900314,CEP,3980,3980,3980,3980,3980
194,V900292,,4000,4000,4000,4000,4000
195,V900293,,4020,4020,4020,4020,4020
196,V900302,BA,4040,4040,4040,4040,4040
197,V900288,,4060,4060,4060,4060,4060
198,V900291,CEP,4080,4080,4080,4080,4080
199,V900150,ITSS,4100,4100,4100,4100,4100
200,V900123,PSW,4120,4120,4120,4120,4120
201,V900598,BA,4140,4140,4140,4140,4140
202,V900961,CEP,4160,4160,4160,4160,4160
203,V900297,PA,4180,4180,4180,4180,4180
204,V900308,PA,4200,4200,4200,4200,4200
205,V900318,,4220,4220,4220,4220,4220
206,V900829,PA,4240,4240,4240,4240,4240
207,V900290,PA,4260,4260,4260,4260,4260
208,V900298,BA,4280,4280,4280,4280,4280
209,V900287,PA,4300,4300,4300,4300,4300
210,V900299,PA,4320,4320,4320,4320,4320
211,V900568,WD,4340,4340,4340,4340,4340
212,V900983,CEP,4360,4360,4360,4360,4360
213,V900854,BA,4380,4380,4380,4380,4380
214,V900991,CEP,4400,4400,4400,4400,4400
215,V900896,CEP,4420,4420,4420,4420,4420
216,V900845,,4440,4440,4440,4440,4440
217,V900898,,4460,4460,4460,4460,4460
218,V900110,PSW,4480,4480,4480,4480,4480
219,V900282,CEP,4500,4500,4500,4500,4500
220,V900934,,4520,4520,4520,4520,4520
221,V900264,CEP,4540,4540,4540,4540,4540
222,V900225,CEP,4560,4560,4560,4560,4560
223,V900899,BA,4580,4580,4580,4580,4580
224,V900647,CEP,4600,4600,4600,4600,4600
225,V900823,BA,4620,4620,4620,4620,4620
226,V900915,,4640,4640,4640,4640,4640
227,V900218,BA,4660,4660,4660,4660,4660
228,V900989,PSW,4680,4680,4680,4680,4680
229,V900826,PSW,4700,4700,4700,4700,4700
230,V900250,CEP,4720,4720,4720,4720,4720
231,V900966,PA,4740,4740,4740,4740,4740
232,V900912,LSC,4760,4760,4760,4760,4760
233,V900122,LSC,4780,4780,4780,4780,4780
234,V900121,CEP,4800,4800,4800,4800,4800
235,V900962,PSW,4820,4820,4820,4820,4820
236,V900864,PSW,4840,4840,4840,4840,4840
237,V900177,MOA,4860,4860,4860,4860,4860
238,V900622,MOA,4880,4880,4880,4880,4880
239,V900128,MOA,4900,4900,4900,4900,4900
240,V900712,WD,4920,4920,4920,4920,4920
241,V900524,BA,4940,4940,4940,4940,4940
242,V900842,BA,4960,4960,4960,4960,4960
243,V900234,CEP,4980,4980,4980,4980,4980
244,V900683,,5000,5000,5000,5000,5000
245,V900190,,5020,5020,5020,5020,5020
246,V900603,BA,5040,5040,5040,5040,5040
247,V900537,BA,5060,5060,5060,5060,5060
248,V900574,MOA,5080,5080,5080,5080,5080
249,V900562,PA,5100,5100,5100,5100,5100
250,V900633,,5120,5120,5120,5120,5120
251,V900503,,5140,5140,5140,5140,5140
252,V900673,,5160,5160,5160,5160,5160
253,V900599,BA,5180,5180,5180,5180,5180
254,V900517,,5200,5200,5200,5200,5200
255,V900682,CEP,5220,5220,5220,5220,5220
256,V900223,APA,5240,5240,5240,5240,5240
257,V900628,,5260,5260,5260,5260,5260
258,V900984,BA,5280,5280,5280,5280,5280
259,V900582,BA,5300,5300,5300,5300,5300
260,V900828,CEP,5320,5320,5320,5320,5320
261,V900606,BA,5340,5340,5340,5340,5340
262,V900155,BA,5360,5360,5360,5360,5360
263,V900159,BA,5380,5380,5380,5380,5380
264,V900619,MOA,5400,5400,5400,5400,5400
265,V900771,,5420,5420,5420,5420,5420
266,V900529,BA,5440,5440,5440,5440,5440
267,V900518,ProjAd,5460,5460,5460,5460,5460
268,V900824,C&EP,5480,5480,5480,5480,5480
269,V900538,MOA,5500,5500,5500,5500,5500
270,V900550, MOA,5520,5520,5520,5520,5520
271,V900560,MOA,5540,5540,5540,5540,5540
272,V900716,BA,5560,5560,5560,5560,5560
273,V900616,MOA,5580,5580,5580,5580,5580
274,V900601,BA,5600,5600,5600,5600,5600
275,V900513,ProjAd,5620,5620,5620,5620,5620
276,V900563,,5640,5640,5640,5640,5640
277,V900900,,5660,5660,5660,5660,5660
