,,Student Completion Summary,,,,,
,,1-Apr-19,"to Apr 30, 2019",,,,
Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149185,Immigration Consultant (2016) - ON,Complete,9/4/2018,9/4/2018,4/5/2019,4/5/2019,0
v900603a,Business Administration (2013)-ON,Cancelled,3/27/2019,3/27/2019,1/1/2020,4/10/2019,31
V900503,Network Administrator (2013)-ON,Cancelled,1/21/2019,1/21/2019,1/24/2020,4/11/2019,17
V149131,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,5/7/2018,5/7/2018,4/5/2019,7/11/2018,19
V900553,Conference and Event Planner (2014)-ON,Cancelled,2/26/2019,2/26/2019,11/1/2019,4/11/2019,30
v900554,Project Administration (2013)-ON,Cancelled,3/25/2019,3/26/2019,1/18/2020,4/1/2019,31
V149198,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,4/5/2019,0
V149201,Business Administration (2013)-ON,Cancelled,7/6/2018,7/16/2018,4/26/2019,2/20/2019,13
V149207,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,4/12/2019,4/12/2019,0
V149196,Business Administration (2013)-ON,Cancelled,7/3/2018,7/3/2018,4/12/2019,8/9/2018,30
V149439,Immigration Consultant (2016) - ON,Complete,11/6/2018,11/6/2018,4/12/2019,4/12/2019,0
V149285,Home Inspection Cert-ON,Cancelled,9/10/2018,9/10/2018,4/19/2019,10/17/2018,10
V149136,Logistics and Supply Chain Operations (2016) - ON ,Complete,5/7/2018,5/7/2018,4/5/2019,4/5/2019,0
V149318,Business Administration (2013)-ON,Cancelled,9/10/2018,9/11/2018,4/19/2019,10/3/2018,21
V149669,Business Administration (2013)-ON,Cancelled,4/3/2019,4/3/2019,4/5/2019,4/5/2019,30
V149783,Paralegal (2014)-ON,Cancelled,4/15/2019,4/15/2019,4/15/2020,4/16/2019,32
V149255,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,4/5/2019,4/5/2019,0
V149670,Personal Support Worker (2016) - AOL,Complete,2/11/2019,2/15/2019,4/26/2019,4/26/2019,0
V149166,Business Administration (2013)-ON,Cancelled,7/3/2018,7/6/2018,4/12/2019,7/23/2018,31
V149282,Accounting and Payroll Administrator (2013)-ON,Cancelled,8/27/2018,8/28/2018,5/17/2019,4/17/2019,6
V149203,Business Administration (2013)-ON,Cancelled,7/6/2018,7/18/2018,4/21/2019,9/12/2018,29
V149218,Computer Service Technician (2016) - ON,Cancelled,7/30/2018,7/30/2018,4/12/2019,1/7/2019,6
V900541,Personal Support Worker (2016) - AOL,Cancelled,1/21/2019,1/23/2019,10/25/2019,4/22/2019,13
V149558,Business Administration (2013)-ON,Cancelled,12/10/2018,1/7/2019,9/27/2019,4/9/2019,30
V149186,Business Administration (2013)-ON,Cancelled,7/6/2018,7/6/2018,4/21/2019,9/5/2018,30
V900558,Medical Office Assistant (Instr)-ON,Cancelled,3/25/2019,3/25/2019,1/10/2020,4/10/2019,20
V900528,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/23/2019,10/25/2019,4/12/2019,16
V149263,Immigration Consultant (2016) - ON,Cancelled,8/27/2018,9/4/2018,4/5/2019,5/15/2019,1
V149179,Business Administration (2013)-ON,Cancelled,7/6/2018,7/6/2018,4/21/2019,5/1/2019,7
V149316,Administrative Assistant (2013)-ON,Cancelled,9/10/2018,9/10/2018,4/12/2019,10/12/2018,19
V149379,Administrative Assistant (2013)-ON,Complete,9/24/2018,9/24/2018,4/26/2019,4/26/2019,0
V149300,Immigration Consultant (2016) - ON,Complete,9/4/2018,9/4/2018,4/5/2019,4/5/2019,0
v149826a,Accounting and Payroll Administrator (2013)-ON,Void,4/8/2019,,12/14/2019,4/15/2019,24
V149567,Business Administration (2013)-ON,Cancelled,12/12/2018,12/18/2018,8/30/2019,4/25/2019,24
V900524,Business Administration (2013)-ON,Cancelled,1/21/2019,1/22/2019,10/25/2019,4/26/2019,24
V149137,Business Administration (2013)-ON,Void,11/26/2018,,4/26/2019,,0
V149792,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,4/1/2019,4/2/2019,4/25/2020,4/15/2019,21
V149324,Immigration Consultant (2016) - ON,Complete,9/17/2018,9/17/2018,4/26/2019,4/26/2019,0
D1021,Business Office Skills (2013)-ON,Cancelled,9/26/2018,9/26/2018,4/26/2019,10/10/2018,21
V900508,Conference and Event Planner (2014)-ON,Cancelled,1/8/2019,1/8/2019,11/22/2019,4/25/2019,25
V900506,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,4/26/2019,21
V900523,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,4/26/2019,23
v900574,Medical Office Assistant (Instr)-ON,Cancelled,3/25/2019,3/25/2019,1/18/2020,4/26/2019,18
V149339,Home Inspection Cert-ON,Cancelled,10/1/2018,10/1/2018,5/10/2019,4/23/2019,8
V149347,Computer Service Technician (2016) - ON,Complete,9/17/2018,9/17/2018,5/31/2019,4/27/2019,0
v149833,Immigration Consultant (2016) - ON,Void,4/29/2019,,1/2/2020,4/29/2019,13
V149373,Conference and Event Planner (2014)-ON,Cancelled,9/24/2018,9/24/2018,9/20/2019,4/25/2019,16
V900552,Personal Support Worker (2016) - AOL,Cancelled,2/4/2019,2/1/2019,10/18/2019,4/25/2019,17
V149199,Business Administration (2013)-ON,Cancelled,7/6/2018,7/6/2018,4/21/2019,5/1/2019,8
V149164,Business Administration (2013)-ON,Complete,7/6/2018,7/6/2018,4/21/2019,4/21/2019,0
