Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
v900186,Project Administration (2013)-ON,Cancelled,10/31/2019,11/1/2019,8/27/2020,12/21/2019,31
v900974,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/8/2019,9/26/2020,12/24/2019,13
V149920,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V149632,Personal Support Worker (2016) - AOL,Void,1/28/2019,,12/4/2019,,19
V149757,Business Administration (2013)-ON,Complete,3/4/2019,3/15/2019,12/6/2019,12/6/2019,0
V149900,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/27/2019,12/6/2019,12/7/2019,0
V900909,Business Administration (2013)-ON,Cancelled,10/4/2019,10/7/2019,7/10/2020,12/17/2019,28
v900566,Business Administration (2013)-ON,Cancelled,3/25/2019,3/26/2019,12/28/2019,8/10/2019,29
V900972,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/10/2019,10/10/2019,10/1/2020,12/21/2019,19
V149925,Immigration Consultant (2016) - ON,Complete,6/3/2019,6/3/2019,12/20/2019,12/20/2019,0
v900142,Network Administrator (2013)-ON,Cancelled,10/25/2019,11/1/2019,10/16/2020,12/17/2019,19
v149809a,Immigration Consultant (2016) - ON,Cancelled,4/15/2019,4/30/2019,12/19/2019,5/1/2019,13
v150326,Business Administration (2013)-ON,Cancelled,10/29/2019,10/29/2019,8/7/2020,12/9/2019,27
v900165,Personal Support Worker (2016) - AOL,Cancelled,10/31/2019,11/1/2019,7/2/2020,12/10/2019,15
v900760,Business Administration (2013)-ON,Cancelled,7/31/2019,8/1/2019,5/6/2020,12/21/2019,20
v900741,Conference and Event Planner (2014)-ON,Cancelled,7/23/2019,8/7/2019,7/8/2020,12/15/2019,19
V900765,Medical Office Assistant (Instr)-ON,Cancelled,8/1/2019,8/1/2019,5/28/2020,12/21/2019,13
V149687,Personal Support Worker (2016) - AOL,Complete,3/11/2019,3/11/2019,12/13/2019,12/13/2019,0
V900504,Conference and Event Planner (2014)-ON,Cancelled,1/7/2019,1/11/2019,12/20/2019,2/14/2019,31
v900910,Business Administration (2013)-ON,Cancelled,10/5/2019,10/7/2019,7/11/2020,12/24/2019,21
V900505,Conference and Event Planner (2014)-ON,Void,1/7/2019,,12/20/2019,,32
v900987,Medical Office Assistant (Instr)-ON,Cancelled,10/7/2019,10/8/2019,8/1/2020,12/21/2019,19
v901017,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,12/17/2019,25
v900781,Business Office Administration Cert (2013)-ON,Void,7/31/2019,,12/26/2019,,16
v150272a,Paralegal (2014)-ON,Void,1/1/2019,,12/25/2019,,33
v149753,Immigration Consultant (2016) - ON,Cancelled,5/20/2019,5/30/2019,12/20/2019,7/12/2019,11
V149765,Paralegal (2014)-ON,Cancelled,3/25/2019,3/26/2019,3/13/2020,12/18/2019,5
V900768,Marketing Coordinator (2013)-ON,Cancelled,7/29/2019,7/29/2019,5/23/2020,12/15/2019,22
v900196,Medical Office Assistant (Instr)-ON,Cancelled,11/1/2019,11/1/2019,8/28/2020,12/15/2019,19
V149732,Personal Support Worker (2016) - AOL,Cancelled,3/11/2019,3/11/2019,12/13/2019,10/8/2019,1
V149793,Accounting and Payroll Administrator (2013)-ON,Void,4/15/2019,,12/20/2019,,24
V149931,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/27/2019,12/13/2019,12/13/2019,0
V149575,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,12/17/2018,12/17/2018,12/20/2019,12/20/2019,0
V150243,Business Administration (2013)-ON,Cancelled,9/9/2019,9/30/2019,7/17/2020,12/10/2019,29
v900789,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,8/8/2019,8/13/2019,7/30/2020,12/17/2019,15
v900254,Accounting and Payroll Administrator (2013)-ON,Cancelled,11/12/2019,11/12/2019,7/21/2020,12/15/2019,23
V900831,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/7/2019,9/22/2020,12/15/2019,27
v150115,Business Administration (2013)-ON,Cancelled,8/12/2019,8/12/2019,5/29/2020,12/16/2019,25
V150016,Accounting and Payroll Administrator (2013)-ON,Cancelled,7/1/2019,7/2/2019,3/20/2020,12/20/2019,9
v900159,Business Administration (2013)-ON,Cancelled,10/31/2019,11/2/2019,8/6/2020,12/10/2019,30
v900147,Medical Office Assistant (Instr)-ON,Cancelled,10/31/2019,11/1/2019,8/27/2020,12/24/2019,18
V900986,Medical Office Assistant (Instr)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,12/17/2019,14
V150025,Medical Office Assistant (Instr)-ON,Cancelled,9/16/2019,9/16/2019,9/18/2020,12/16/2019,19
V900559,Business Administration (2013)-ON,Cancelled,3/25/2019,3/25/2019,12/28/2019,8/12/2019,23
V900311,Conference and Event Planner (2014)-ON,Cancelled,12/2/2019,12/3/2019,11/17/2020,12/17/2019,21
V900699,Project Administration (2013)-ON,Cancelled,6/10/2019,6/10/2019,4/4/2020,12/21/2019,19
v149915,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V149721,Business Administration (2013)-ON,Cancelled,3/4/2019,3/6/2019,12/6/2019,3/11/2019,29
V149746,Personal Support Worker (2016) - AOL,In Progress,3/18/2019,3/18/2019,12/20/2019,,1
391271,INDIVIDUAL CERTIFICATE,Void,12/12/2019,,12/12/2019,,0
v149893,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/27/2019,12/13/2019,12/13/2019,0
v150468a,Immigration Consultant (2016) - ON,Void,1/6/2020,,9/10/2020,12/9/2019,13
v149940,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/30/2019,12/20/2019,12/20/2019,0
V149654,Home Inspection (2009)-ON,Cancelled,1/28/2019,1/30/2019,12/6/2019,12/21/2019,6
V900912,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/4/2019,10/7/2019,9/25/2020,12/22/2019,20
V900952,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/7/2019,9/26/2020,12/21/2019,18
V149790,Business Administration (2013)-ON,In Progress,4/1/2019,4/2/2019,12/13/2019,,1
V900948,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/7/2019,10/7/2019,9/26/2020,12/21/2019,19
v900770,Medical Office Assistant (Instr)-ON,Cancelled,7/31/2019,8/1/2019,5/27/2020,12/17/2019,15
V900792,Project Administration (2013)-ON,Cancelled,8/20/2019,8/20/2019,6/16/2020,12/10/2019,18
V900221,Web Designer (2015)-ON,Cancelled,11/15/2019,11/15/2019,10/24/2020,12/17/2019,26
V900900,Network Administrator (2013)-ON,Cancelled,10/5/2019,10/7/2019,9/26/2020,12/17/2019,11
V900236,Conference and Event Planner (2014)-ON,Cancelled,11/9/2019,11/11/2019,10/27/2020,12/15/2019,29
V900124,Network Administrator (2013)-ON,Cancelled,10/8/2019,10/8/2019,9/29/2020,12/17/2019,18
v900939,Paralegal (2014)-ON,Cancelled,10/10/2019,10/10/2019,10/2/2020,12/17/2019,26
V900859,Business Administration (2013)-ON,Cancelled,8/8/2019,10/1/2019,5/14/2020,12/17/2019,29
V900814,Project Administration (2013)-ON,Cancelled,8/9/2019,10/7/2019,6/5/2020,12/21/2019,25
V149758,Business Administration (2013)-ON,Complete,3/4/2019,3/15/2019,12/6/2019,12/6/2019,0
v149964,Immigration Consultant (2016) - ON,Complete,6/3/2019,6/4/2019,12/20/2019,12/20/2019,0
v149934,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/27/2019,12/31/2019,12/31/2019,0
V901016,Medical Office Assistant (Instr)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,12/21/2019,17
V900961,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/9/2019,9/22/2020,12/17/2019,25
V150235,Immigration Consultant (2016) - ON,Cancelled,9/30/2019,9/30/2019,5/1/2020,12/20/2019,9
V149707,Personal Support Worker (2016) - AOL,Cancelled,3/11/2019,3/12/2019,12/13/2019,10/4/2019,4
V149723,Personal Support Worker (2016) - AOL,Void,3/11/2019,,12/6/2019,,19
v149589,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/15/2019,12/2/2019,12/2/2019,0
v150138,Immigration Consultant (2016) - ON,Cancelled,4/8/2019,9/9/2019,12/12/2019,9/16/2019,13
v900285,Marketing Coordinator (2013)-ON,Cancelled,11/18/2019,11/18/2019,9/12/2020,12/17/2019,30
v900213,Medical Office Assistant (Instr)-ON,Cancelled,11/9/2019,11/11/2019,9/5/2020,12/17/2019,20
v149941,Immigration Consultant (2016) - ON,Cancelled,5/27/2019,5/27/2019,12/13/2019,6/24/2019,12
v900878,Project Administration (2013)-ON,Cancelled,8/9/2019,10/7/2019,12/22/2019,2/8/2020,24
v900975,Business Administration (2013)-ON,Cancelled,10/7/2019,10/8/2019,7/11/2020,12/2/2019,29
V900809,Project Administration (2013)-ON,Cancelled,10/7/2019,10/8/2019,8/1/2020,12/7/2019,28
v900251,Medical Office Assistant (Instr)-ON,Cancelled,11/11/2019,11/12/2019,9/5/2020,12/3/2019,20
v900947,Personal Support Worker (2016) - AOL,Cancelled,1/1/2019,11/1/2019,9/3/2019,12/15/2019,15
v900184,Business Administration (2013)-ON,Cancelled,11/9/2019,11/14/2019,8/15/2020,12/21/2019,30
V900884,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/3/2019,10/8/2019,6/11/2020,12/15/2019,16
V150470,Business Administration (2013)-ON,Void,12/16/2019,,10/2/2020,12/16/2019,31
V149710,Business Administration (2013)-ON,Complete,3/4/2019,3/4/2019,12/6/2019,12/6/2019,0
v900752,Business Administration (2013)-ON,Cancelled,7/31/2019,8/1/2019,5/6/2020,12/17/2019,24
V149986,Immigration Consultant (2016) - ON,Complete,7/1/2019,7/3/2019,12/6/2019,12/6/2019,0
v900824,Conference and Event Planner (2014)-ON,Cancelled,1/1/2019,10/7/2019,12/18/2019,2/2/2020,25
v900776,Network Administrator (2013)-ON,Cancelled,7/31/2019,8/1/2019,7/22/2020,12/6/2019,10
v149902,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/8/2019,0
V149754,Personal Support Worker (2016) - AOL,Complete,3/18/2019,3/18/2019,12/20/2019,12/20/2019,0
V900904,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/7/2019,9/26/2020,12/22/2019,12
v149831,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
v900993,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/25/2019,11/1/2019,7/3/2020,12/22/2019,22
V900569,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/25/2019,4/1/2019,12/6/2019,7/12/2019,18
v900272,Network Administrator (2013)-ON,Cancelled,11/14/2019,11/14/2019,11/5/2020,12/21/2019,19
V900923,Project Administration (2013)-ON,Cancelled,10/5/2019,10/8/2019,8/1/2020,12/17/2019,26
V900258,Medical Office Assistant (Virtual) (2014) - ON,Cancelled,11/12/2019,11/12/2019,9/8/2020,12/9/2019,20
v900811,Conference and Event Planner (2014)-ON,Cancelled,8/9/2019,10/7/2019,7/25/2020,12/2/2019,26
v900570,Business Administration (2013)-ON,Cancelled,3/25/2019,3/26/2019,12/28/2019,5/28/2019,29
v149826a,Accounting and Payroll Administrator (2013)-ON,Void,4/8/2019,,12/14/2019,4/15/2019,24
v149904,Immigration Consultant (2016) - ON,Complete,4/5/2019,5/17/2019,12/6/2019,12/6/2019,0
v149699,Immigration Consultant (2016) - ON,Void,5/20/2019,,12/6/2019,,13
v900769,Medical Office Assistant (Instr)-ON,Cancelled,7/31/2019,8/1/2019,5/27/2020,12/21/2019,15
V900861,Network Administrator (2013)-ON,Cancelled,8/9/2019,10/7/2019,7/31/2020,12/21/2019,15
v900171,Medical Office Assistant (Instr)-ON,Cancelled,10/31/2019,11/6/2019,8/27/2020,12/17/2019,20
v149811a,Immigration Consultant (2016) - ON,Cancelled,4/7/2019,4/30/2019,12/12/2019,5/1/2019,13
v900145,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/31/2019,11/1/2019,7/9/2020,12/22/2019,17
v900756,Business Administration (2013)-ON,Cancelled,7/31/2019,8/6/2019,5/6/2020,12/17/2019,21
V900955,Medical Office Assistant (Virtual) (2014) - ON,Cancelled,10/7/2019,10/7/2019,8/1/2020,12/21/2019,15
v900749,Business Administration (2013)-ON,Cancelled,7/31/2019,8/1/2019,5/6/2020,12/21/2019,18
V900933,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/7/2019,9/26/2020,12/21/2019,12
V150186,Home Inspection (2009)-ON,Cancelled,9/11/2019,9/11/2019,7/24/2020,12/10/2019,16
V900958,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/7/2019,9/22/2020,12/17/2019,24
v150450,Computerized Accounting (2013)-ON,Cancelled,10/11/2019,12/4/2019,7/14/2020,12/15/2019,22
V149943,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/28/2019,12/13/2019,12/13/2019,0
v149806,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
v150439,Immigration Consultant (2016) - ON,Cancelled,11/27/2019,11/27/2019,6/26/2020,12/6/2019,12
v900161,Network Administrator (2013)-ON,Cancelled,10/25/2019,11/1/2019,10/16/2020,12/15/2019,18
v900149,Network Administrator (2013)-ON,Cancelled,10/25/2019,11/1/2019,10/16/2020,12/17/2019,19
V900828,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/7/2019,9/22/2020,12/6/2019,27
v149924,Immigration Consultant (2016) - ON,Complete,5/27/2019,5/27/2019,12/13/2019,12/12/2019,0
V149984,Immigration Consultant (2016) - ON,Complete,6/11/2019,6/12/2019,12/6/2019,12/6/2019,0
v150116,Immigration Consultant (2016) - ON,Cancelled,8/12/2019,8/12/2019,3/13/2020,12/20/2019,5
v149989,Medical Receptionist (2013)-ON,Cancelled,7/9/2019,7/10/2019,12/6/2019,10/1/2019,11
v901005,Network Administrator (2013)-ON,Cancelled,10/8/2019,10/8/2019,9/29/2020,12/17/2019,12
v900227,Business Administration (2013)-ON,Cancelled,11/9/2019,11/11/2019,8/15/2020,12/17/2019,27
v900882,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/7/2019,9/22/2020,12/21/2019,31
v900931,Personal Support Worker (2016) - AOL,Cancelled,10/5/2019,10/7/2019,6/6/2020,12/9/2019,15
v900111,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/7/2019,10/8/2019,9/26/2020,12/17/2019,20
V900957,Project Administration (2013)-ON,Cancelled,10/7/2019,10/7/2019,8/1/2020,12/22/2019,24
v900278,Medical Office Assistant (Instr)-ON,Cancelled,11/18/2019,11/18/2019,9/12/2020,12/3/2019,21
v900812,Conference and Event Planner (2014)-ON,Cancelled,10/5/2019,10/7/2019,9/22/2020,12/15/2019,26
v900255,Web Designer (2015)-ON,Cancelled,11/12/2019,11/12/2019,10/21/2020,12/9/2019,27
v900786,Project Administration (2013)-ON,Cancelled,8/3/2019,8/12/2019,5/30/2020,12/21/2019,29
v149965,Immigration Consultant (2016) - ON,Complete,6/3/2019,6/3/2019,12/20/2019,12/20/2019,0
V149668,Personal Support Worker (2016) - AOL,Complete,3/11/2019,3/11/2019,12/13/2019,12/13/2019,0
391269,INDIVIDUAL CERTIFICATE,Void,12/12/2019,,12/12/2019,,0
v149966,Immigration Consultant (2016) - ON,Cancelled,6/3/2019,6/3/2019,12/20/2019,6/7/2019,12
v900188,Marketing Coordinator (2013)-ON,Cancelled,10/31/2019,11/4/2019,8/27/2020,12/21/2019,30
V900838,Conference and Event Planner (2014)-ON,Cancelled,8/9/2019,10/7/2019,7/25/2020,12/21/2019,30
v900283,Network Administrator (2013)-ON,Cancelled,11/18/2019,11/18/2019,11/7/2020,12/22/2019,16
