Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149427,Conference and Event Planner (2014)-ON,Cancelled,10/8/2018,10/9/2018,10/4/2019,2/20/2019,28
V900504,Conference and Event Planner (2014)-ON,Cancelled,1/7/2019,1/11/2019,12/20/2019,2/14/2019,31
V149311,Conference and Event Planner (2014)-ON,Cancelled,9/24/2018,9/24/2018,9/20/2019,2/25/2019,25
V149201,Business Administration (2013)-ON,Cancelled,7/6/2018,7/16/2018,4/26/2019,2/20/2019,13
V149642,Immigration Consultant (2016) - ON,Cancelled,1/28/2019,1/28/2019,8/16/2019,2/26/2019,12
V149161,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,6/11/2018,6/11/2018,2/15/2019,7/30/2018,13
V149323,Business Office Administration Cert (2013)-ON,Void,9/10/2018,,2/15/2019,,16
V149193,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/3/2018,2/1/2019,2/1/2019,0
V149146,Business Administration (2013)-ON,Complete,5/14/2018,5/14/2018,2/15/2019,2/19/2019,0
V149552,Immigration Consultant (2016) - ON,Cancelled,12/17/2018,12/17/2018,7/19/2019,2/5/2019,13
V149350,Immigration Consultant (2016) - ON,Complete,9/17/2018,9/17/2018,2/1/2019,2/1/2019,0
V149076,Web Designer (2015)-ON,Complete,3/5/2018,3/5/2018,2/22/2019,2/22/2019,0
V149522,Network Administrator (2013)-ON,Cancelled,11/26/2018,11/26/2018,11/29/2019,2/13/2019,14
V149174,Immigration Consultant (2016) - ON,Void,7/3/2018,,2/2/2019,,13
V149471,Paralegal (2014)-ON,Cancelled,11/5/2018,11/7/2018,10/25/2019,2/5/2019,25
V149310,Project Administration (2013)-ON,Cancelled,9/10/2018,9/12/2018,7/19/2019,2/21/2019,23
V149352,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,2/14/2019,20
D1022,INDIVIDUAL CERTIFICATE,Complete,1/14/2019,1/14/2019,2/25/2019,2/1/2019,0
V149456,Web Designer (2015)-ON,Cancelled,10/22/2018,10/22/2018,10/11/2019,2/14/2019,20
V149181,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/4/2018,2/15/2019,2/12/2019,0
V149178,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/3/2018,2/1/2019,2/1/2019,0
V149517,Business Administration (2013)-ON,Cancelled,11/26/2018,11/27/2018,9/13/2019,2/11/2019,25
V149200,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/3/2018,2/15/2019,2/15/2019,0
V149610,Immigration Consultant (2016) - ON,Cancelled,1/14/2019,1/15/2019,8/2/2019,2/21/2019,11
V149206,Immigration Consultant (2016) - ON,Complete,7/9/2018,7/9/2018,2/8/2019,2/1/2019,0
V149273,Business Administration (2013)-ON,Cancelled,9/10/2018,9/11/2018,6/28/2019,2/14/2019,19
V900501,Personal Support Worker (2016) - AOL,Cancelled,12/17/2018,1/14/2019,2/6/2019,2/13/2019,19
V149396,Business Administration (2013)-ON,Cancelled,9/24/2018,9/25/2018,7/12/2019,2/20/2019,20
V149180,Immigration Consultant (2016) - ON,Complete,9/10/2018,9/10/2018,2/1/2019,2/1/2019,0
V149158,Immigration Consultant (2016) - ON,Complete,7/23/2018,7/23/2018,3/1/2019,2/28/2019,0
V149169,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/3/2018,2/1/2019,2/1/2019,0
