,,Student Completion Summary,,,,,
,,1-Jul-19,"to Jul 31, 2019",,,,
Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V900727,Project Administration (2013)-ON,Cancelled,6/24/2019,6/24/2019,4/18/2020,7/26/2019,28
V149601,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,7/26/2019,0
V149602,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/26/2019,3/14/2019,9
V149616,Immigration Consultant (2016) - ON,Complete,1/14/2019,1/14/2019,7/12/2019,7/12/2019,0
V900529,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/8/2019,23
v149582,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/19/2018,7/19/2019,7/23/2019,0
V149398,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,1/11/2019,21
V149349,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,3/12/2019,18
V149545,Immigration Consultant (2016) - ON,Complete,12/3/2018,12/5/2018,7/5/2019,7/5/2019,0
v149916,Immigration Consultant (2016) - ON,Cancelled,6/10/2019,6/10/2019,1/3/2020,7/19/2019,10
V149564,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/5/2019,6/11/2019,2
V149685,Immigration Consultant (2016) - ON,Complete,2/26/2019,2/26/2019,7/5/2019,7/5/2019,0
V149736,Network Administrator (2013)-ON,Cancelled,3/18/2019,3/18/2019,4/8/2020,7/16/2019,12
V149593,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,7/26/2019,0
V149502,Immigration Consultant (2016) - ON,Complete,12/3/2018,12/3/2018,7/5/2019,7/5/2019,0
V900604,Business Office Administration Cert (2013)-ON,Cancelled,3/28/2019,4/1/2019,8/16/2019,7/22/2019,13
