Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149957,Project Administration (2013)-ON,Cancelled,6/10/2019,6/12/2019,4/17/2020,6/20/2019,1
v149960,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,5/31/2019,5/31/2019,6/11/2020,6/18/2019,25
v900680,Medical Office Assistant (Instr)-ON,Cancelled,5/27/2019,5/27/2019,3/21/2020,6/24/2019,21
V149254,Business Administration (2013)-ON,Cancelled,8/27/2018,8/29/2018,6/14/2019,11/19/2018,27
V149252,Business Administration (2013)-ON,Complete,8/20/2018,8/20/2018,6/7/2019,6/7/2019,0
V149564,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/5/2019,6/11/2019,2
V900690,Project Administration (2013)-ON,Cancelled,5/27/2019,5/27/2019,3/21/2020,6/18/2019,31
V149276,Business Administration (2013)-ON,Void,8/27/2018,,6/14/2019,,31
V149275,Personal Support Worker (2016) - AOL,Cancelled,8/27/2018,8/27/2018,6/14/2019,6/10/2019,3
V149160,Personal Support Worker (2016) - AOL,Complete,8/20/2018,8/20/2018,6/7/2019,6/7/2019,0
v900568,Web Designer (2015)-ON,Cancelled,5/3/2019,6/10/2019,4/11/2020,6/18/2019,26
V149222,Personal Support Worker (2016) - AOL,Cancelled,8/28/2018,8/27/2018,6/14/2019,1/9/2019,9
v149821a,Law Clerk (2013)-ON,Cancelled,4/29/2019,4/29/2019,5/2/2020,6/10/2019,27
V149640,Law Clerk (2013)-ON,Cancelled,2/25/2019,3/4/2019,3/6/2020,6/11/2019,29
V149308,Personal Support Worker (2016) - AOL,Cancelled,9/4/2018,9/4/2018,6/21/2019,2/7/2020,1
V900536,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/23/2019,10/25/2019,6/11/2019,18
V900531,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,6/12/2019,22
V149378,Accounting and Payroll Administrator (2013)-ON,Complete,9/24/2018,9/24/2018,6/14/2019,6/14/2019,0
V149381,Business Administration (2013)-ON,Cancelled,9/24/2018,9/29/2018,7/19/2019,6/10/2019,0
V149556,Project Administration (2013)-ON,Complete,12/10/2018,12/10/2018,6/7/2019,6/6/2019,0
V149879,Paralegal (2014)-ON,Cancelled,4/30/2019,4/30/2019,4/17/2020,6/11/2019,30
V149209,Logistics and Supply Chain Operations (2016) - ON ,Void,10/1/2018,,6/14/2019,,15
V149490,Immigration Consultant (2016) - ON,Complete,11/5/2018,11/5/2018,6/7/2019,6/7/2019,0
v149872,Accounting and Payroll Administrator (2013)-ON,Cancelled,4/29/2019,4/29/2019,1/4/2020,6/11/2019,24
v900702,Project Administration (2013)-ON,Cancelled,6/10/2019,6/10/2019,4/4/2020,6/25/2019,31
V149383,Computer Service Technician (2016) - ON,Cancelled,9/24/2018,9/24/2018,6/7/2019,6/11/2019,10
V149440,Business Administration (2013)-ON,Cancelled,10/8/2018,10/10/2018,7/26/2019,6/10/2019,0
