,,Student Completion Summary,,,,,
,,1-Mar-19,"to Mar 31, 2019",,,,
Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149602,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/26/2019,3/14/2019,9
V149293,Immigration Consultant (2016) - ON,Cancelled,8/27/2018,8/28/2018,3/29/2019,10/25/2018,9
V149716,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/4/2019,3/4/2019,11/8/2019,3/19/2019,23
V900534,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,3/27/2019,15
V149349,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,3/12/2019,18
V149223,Immigration Consultant (2016) - ON,Complete,7/30/2018,7/30/2018,3/1/2019,3/1/2019,0
V149198,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,4/5/2019,0
V149442,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/15/2018,10/15/2018,7/5/2019,3/5/2019,12
V149749,Law Clerk (2013)-ON,Cancelled,3/18/2019,3/18/2019,4/26/2020,3/22/2019,30
V149327,Administrative Assistant (2013)-ON,Complete,9/17/2018,9/17/2018,3/29/2019,3/29/2019,0
V149516,Immigration Consultant (2016) - ON,Complete,11/26/2018,11/26/2018,3/29/2019,3/29/2019,0
V149256,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,3/30/2019,0
V149211,Business Administration (2013)-ON,Void,8/6/2018,,3/15/2019,,23
V149718,Business Office Skills (2013)-ON,Cancelled,3/4/2019,3/4/2019,9/6/2019,3/4/2019,22
V149721,Business Administration (2013)-ON,Cancelled,3/4/2019,3/6/2019,12/6/2019,3/11/2019,29
v149581,Business Administration (2013)-ON,Cancelled,12/17/2018,12/19/2018,10/4/2019,3/1/2019,30
V149183,Project Administration (2013)-ON,Cancelled,7/9/2018,9/17/2018,3/15/2019,10/11/2018,25
V149265,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,3/29/2019,0
V149287,Immigration Consultant (2016) - ON,Cancelled,8/27/2018,8/27/2018,3/29/2019,1/24/2019,5
V149362,Business Administration (2013)-ON,Cancelled,9/24/2018,9/29/2018,7/19/2019,3/12/2019,23
V149238,Immigration Consultant (2016) - ON,Complete,8/7/2018,8/7/2018,3/22/2019,3/22/2019,0
V149364,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,9/24/2018,9/24/2018,8/23/2019,3/26/2019,12
V149717,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/4/2019,3/4/2019,11/8/2019,3/19/2019,23
V149299,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/31/2018,3/29/2019,3/29/2019,0
V149266,Computer Service Technician (2016) - ON,Cancelled,9/10/2018,9/11/2018,3/29/2019,10/9/2018,10
V149662,Law Clerk (2013)-ON,Cancelled,2/4/2019,2/4/2019,2/7/2020,3/4/2019,29
V149176,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,3/29/2019,0
V149595,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,1/7/2019,1/7/2019,1/10/2020,3/1/2019,23
V149608,Business Administration (2013)-ON,Cancelled,1/7/2019,1/7/2019,10/11/2019,3/5/2019,28
V149105,Paralegal (2014)-ON,Void,3/19/2018,,3/1/2019,,33
V149253,Immigration Consultant (2016) - ON,Void,8/27/2018,,3/29/2019,,13
V149603,Immigration Consultant (2016) - ON,Cancelled,1/28/2019,1/28/2019,8/16/2019,3/5/2019,10
V149511,Immigration Consultant (2016) - ON,Complete,11/26/2018,11/26/2018,3/29/2019,3/29/2019,0
V149415,Business Administration (2013)-ON,Cancelled,9/24/2018,9/27/2018,7/12/2019,3/18/2019,18
V149123,Law Clerk (2013)-ON,Cancelled,3/26/2018,3/26/2018,3/29/2019,7/30/2018,17
V149271,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,3/22/2019,0
V149372,Web Designer (2012)-ON,Cancelled,9/24/2018,9/24/2018,9/13/2019,3/12/2019,17
V149370,Paralegal (2014)-ON,Cancelled,9/24/2018,9/24/2018,9/13/2019,3/5/2019,19
V900551a,Law Clerk (2013)-ON,Cancelled,1/31/2019,1/31/2019,2/7/2020,3/27/2019,24
V149525,Immigration Consultant (2016) - ON,Complete,11/26/2018,11/27/2018,3/29/2019,3/28/2019,0
