,,Student Completion Summary,,,,,
,,1-May-19,"to May 31, 2019",,,,
Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149652,Immigration Consultant (2016) - ON,Cancelled,3/25/2019,3/26/2019,10/11/2019,5/7/2019,11
V900578,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,3/23/2019,3/28/2019,3/14/2020,5/7/2019,20
V149700,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,3/4/2019,3/4/2019,1/31/2020,5/30/2019,18
V149849,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,4/22/2019,4/23/2019,3/20/2020,5/28/2019,20
v149809a,Immigration Consultant (2016) - ON,Cancelled,4/15/2019,4/30/2019,12/19/2019,5/1/2019,13
V900603,Business Administration (2013)-ON,Cancelled,3/27/2019,3/29/2019,1/14/2020,5/8/2019,25
V900548,Business Administration (2013)-ON,Cancelled,2/4/2019,2/4/2019,11/8/2019,5/9/2019,21
V149536,Network Administrator (2013)-ON,Cancelled,11/27/2018,11/27/2018,11/29/2019,5/2/2019,8
v900688a,Business Administration (2013)-ON,Void,5/27/2019,,2/29/2020,5/27/2019,31
V149386,Immigration Consultant (2016) - ON,Complete,9/24/2018,9/24/2018,5/10/2019,5/10/2019,0
v149766a,Personal Support Worker (2016) - AOL,Cancelled,4/1/2019,4/30/2019,11/30/2019,5/1/2019,18
v149418,Immigration Consultant (2016) - ON,Complete,9/29/2018,9/29/2018,5/3/2019,5/10/2019,0
V900518,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,5/9/2019,22
V149413,Personal Support Worker (2016) - AOL,Cancelled,9/27/2018,9/27/2018,7/19/2019,5/11/2019,3
V149760,Business Office Skills (2013)-ON,Cancelled,3/25/2019,3/25/2019,9/27/2019,5/16/2019,20
V900513,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,5/6/2019,22
V149877,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,4/29/2019,4/30/2019,3/27/2020,5/30/2019,22
V149730,Immigration Consultant (2016) - ON,Cancelled,3/18/2019,3/18/2019,10/4/2019,5/7/2019,12
V149294,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149279,Accounting and Payroll Administrator (2013)-ON,Void,9/10/2018,,5/31/2019,,24
V149152,Logistics and Supply Chain Operations (2016) - ON ,Void,6/11/2018,,5/10/2019,,23
v149783a,Paralegal (2014)-ON,Cancelled,3/28/2019,4/30/2019,3/20/2020,5/6/2019,33
V149856,Accounting and Payroll Administrator (2013)-ON,Cancelled,5/13/2019,5/13/2019,1/31/2020,5/21/2019,23
V149298,Immigration Consultant (2016) - ON,Void,10/8/2018,,5/10/2019,,13
v149823,Paralegal (2014)-ON,Cancelled,4/22/2019,4/30/2019,4/14/2020,5/7/2019,31
V149282,Accounting and Payroll Administrator (2013)-ON,Cancelled,8/27/2018,8/28/2018,5/17/2019,4/17/2019,6
V900517,Network Administrator (2013)-ON,Cancelled,1/21/2019,1/21/2019,1/24/2020,5/2/2019,13
V900549,Business Administration (2013)-ON,Cancelled,1/28/2019,1/28/2019,11/1/2019,5/3/2019,20
V149192,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149344,Immigration Consultant (2016) - ON,Void,10/8/2018,,5/10/2019,,13
V149480,Immigration Consultant (2016) - ON,Cancelled,10/31/2018,10/31/2018,5/31/2019,11/16/2018,12
V149312,Immigration Consultant (2016) - ON,Complete,12/18/2018,12/18/2018,5/10/2019,5/10/2019,0
V900684,Business Office Administration Cert (2013)-ON,Cancelled,5/3/2019,5/27/2019,9/28/2019,5/27/2019,16
V149194,Accounting and Payroll Administrator (2013)-ON,Complete,8/27/2018,8/27/2018,5/17/2019,5/17/2019,0
V149671,Business Administration (2013)-ON,Cancelled,2/11/2019,2/11/2019,11/15/2019,5/16/2019,29
