Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
v149912,Accounting and Payroll Administrator (2013)-ON,Cancelled,7/15/2019,7/15/2019,4/3/2020,11/25/2019,14
V149716,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/4/2019,3/4/2019,11/8/2019,3/19/2019,23
v150319,Network Administrator (2013)-ON,Cancelled,10/28/2019,10/28/2019,10/30/2020,11/23/2019,18
v150332,Computerized Accounting (2013)-ON,Cancelled,11/11/2019,11/11/2019,6/19/2020,11/16/2019,23
V149537,Conference and Event Planner (2014)-ON,Void,12/3/2018,,11/29/2019,,32
v900128,Medical Office Assistant (Instr)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,11/15/2019,16
V900905,Business Administration (2013)-ON,Cancelled,10/4/2019,10/7/2019,7/10/2020,11/11/2019,31
V900548,Business Administration (2013)-ON,Cancelled,2/4/2019,2/4/2019,11/8/2019,5/9/2019,21
V149536,Network Administrator (2013)-ON,Cancelled,11/27/2018,11/27/2018,11/29/2019,5/2/2019,8
v150333,Immigration Consultant (2016) - ON,Cancelled,11/11/2019,11/11/2019,7/16/2020,11/11/2019,13
V149474,Medical Office Assistant with HUC Specialty (Instr)-ON,Void,11/12/2018,,11/15/2019,,25
V149713,Paralegal (2014)-ON,Complete,3/4/2019,3/11/2019,10/25/2019,11/1/2019,0
V900553,Conference and Event Planner (2014)-ON,Cancelled,2/26/2019,2/26/2019,11/1/2019,4/11/2019,30
v149766a,Personal Support Worker (2016) - AOL,Cancelled,4/1/2019,4/30/2019,11/30/2019,5/1/2019,18
V900119,Business Administration (2013)-ON,Cancelled,10/9/2019,10/9/2019,7/15/2020,11/22/2019,30
V900963,Business Administration (2013)-ON,Cancelled,10/7/2019,10/7/2019,7/11/2020,11/7/2019,30
v150239,Immigration Consultant (2016) - ON,Cancelled,9/30/2019,9/30/2019,6/4/2020,11/4/2019,12
V149676,Business Administration (2013)-ON,Complete,2/25/2019,2/25/2019,11/29/2019,11/29/2019,0
V900518,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,5/9/2019,22
v900153,Business Administration (2013)-ON,Cancelled,10/25/2019,11/1/2019,7/31/2020,11/1/2019,31
v900118,Project Administration (2013)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,11/11/2019,31
V149738,Administrative Assistant (2013)-ON,Complete,5/6/2019,5/6/2019,11/22/2019,11/22/2019,0
V149680,Immigration Consultant (2016) - ON,Complete,8/30/2019,2/13/2019,11/22/2019,11/22/2019,0
v150440a,Business Administration (2013)-ON,Void,12/9/2019,,9/12/2020,11/28/2019,31
V150261,Computer Service Technician (2016) - ON,Cancelled,10/14/2019,10/15/2019,6/26/2020,11/1/2019,14
V900984,Business Administration (2013)-ON,Cancelled,10/7/2019,10/9/2019,7/11/2020,11/12/2019,30
V900587,Personal Support Worker (2016) - AOL,Void,3/25/2019,,11/23/2019,,18
V900513,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,5/6/2019,22
v150379,INDIVIDUAL CERTIFICATE,Complete,11/7/2019,11/12/2019,11/15/2019,11/15/2019,0
v150120,Personal Support Worker (2016) - AOL,Cancelled,8/26/2019,8/26/2019,6/12/2020,11/8/2019,11
V149497,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/12/2018,11/12/2018,11/15/2019,9/13/2019,12
V900936,Conference and Event Planner (2014)-ON,Cancelled,10/9/2019,10/9/2019,9/24/2020,11/22/2019,30
v149485,Medical Office Assistant with HUC Specialty (Instr)-ON,Void,11/5/2018,,11/8/2019,,25
V150185,Immigration Consultant (2016) - ON,Cancelled,10/21/2019,10/21/2019,5/22/2020,11/15/2019,12
V150223,Medical Office Assistant (Instr)-ON,Cancelled,9/23/2019,10/8/2019,7/10/2020,11/15/2019,21
V149748,Accounting and Payroll Administrator (2013)-ON,Complete,3/18/2019,3/18/2019,11/22/2019,11/22/2019,0
V149526,Conference and Event Planner (2014)-ON,Cancelled,11/26/2018,11/26/2018,11/22/2019,12/4/2018,31
V149540,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,11/30/2018,12/3/2018,11/26/2019,1/7/2019,21
V149522,Network Administrator (2013)-ON,Cancelled,11/26/2018,11/26/2018,11/29/2019,2/13/2019,14
v900207,Business Administration (2013)-ON,Void,11/9/2019,,8/15/2020,11/25/2019,31
V900549,Business Administration (2013)-ON,Cancelled,1/28/2019,1/28/2019,11/1/2019,5/3/2019,20
V900519,Project Administration (2013)-ON,Cancelled,1/21/2019,1/22/2019,11/15/2019,8/6/2019,18
V900967,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/7/2019,10/8/2019,9/26/2020,11/11/2019,22
v900154,Network Administrator (2013)-ON,Void,10/25/2019,,10/16/2020,11/25/2019,20
V900679,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/25/2019,5/27/2019,11/30/2019,8/9/2019,19
V149717,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/4/2019,3/4/2019,11/8/2019,3/19/2019,23
V149369,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,10/29/2018,10/29/2018,11/1/2019,11/1/2019,0
v149880,Immigration Consultant (2016) - ON,Cancelled,4/29/2019,4/30/2019,11/15/2019,6/18/2019,13
v900643,Conference and Event Planner (2014)-ON,Cancelled,5/27/2019,5/27/2019,5/12/2020,11/11/2019,23
V149482,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/5/2018,11/5/2018,11/8/2019,1/4/2020,4
v900928,Medical Office Assistant (Instr)-ON,Cancelled,10/5/2019,10/7/2019,8/1/2020,11/19/2019,19
V900692,Business Administration (2013)-ON,Cancelled,5/28/2019,5/28/2019,3/3/2020,11/4/2019,16
V900509,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,7/29/2019,13
V149393,Medical Office Assistant (Instr)-ON,In Progress,9/24/2018,9/25/2018,11/18/2019,,2
V149671,Business Administration (2013)-ON,Cancelled,2/11/2019,2/11/2019,11/15/2019,5/16/2019,29
v149865,Immigration Consultant (2016) - ON,Complete,4/29/2019,4/29/2019,11/15/2019,11/22/2019,0
v149868,Home Inspection (2009)-ON,Cancelled,4/24/2019,4/29/2019,3/5/2020,11/9/2019,11
V149840,Immigration Consultant (2016) - ON,Void,4/17/2019,,11/1/2019,5/6/2019,13
v150363,Home Inspection (2009)-ON,Cancelled,11/4/2019,11/4/2019,9/25/2020,11/25/2019,20
V149569,Logistics and Supply Chain Operations (2016) - ON ,Complete,12/17/2018,12/17/2018,11/15/2019,11/15/2019,0
v900593,Network Administrator (2013)-ON,Cancelled,5/11/2019,5/27/2019,5/2/2020,11/22/2019,10
V900550,Medical Office Assistant (Instr)-ON,Cancelled,1/28/2019,1/28/2019,11/1/2019,6/10/2019,13
V900678,Business Administration (2013)-ON,Cancelled,5/24/2019,5/24/2019,2/28/2020,11/11/2019,29
V149674,Business Administration (2013)-ON,Cancelled,2/11/2019,2/11/2019,11/15/2019,5/16/2019,29
V149613,Personal Support Worker (2016) - AOL,Cancelled,1/28/2019,1/28/2019,11/1/2019,10/15/2019,3
v149859,Immigration Consultant (2016) - ON,Cancelled,4/24/2019,4/26/2019,11/15/2019,9/13/2019,4
V900743,Conference and Event Planner (2014)-ON,Cancelled,7/26/2019,8/1/2019,7/11/2020,11/19/2019,23
