Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149652,Immigration Consultant (2016) - ON,Cancelled,3/25/2019,3/26/2019,10/11/2019,5/7/2019,11
V900529,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/8/2019,23
v150192,Immigration Consultant (2016) - ON,Void,10/21/2019,,10/28/2019,,13
V149701,Immigration Consultant (2016) - ON,Complete,3/4/2019,3/4/2019,10/11/2019,10/9/2019,0
v150099,Paralegal (2014)-ON,Cancelled,9/16/2019,9/16/2019,9/4/2020,10/4/2019,32
V149427,Conference and Event Planner (2014)-ON,Cancelled,10/8/2018,10/9/2018,10/4/2019,2/20/2019,28
V900534,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,3/27/2019,15
V900540,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,9/7/2019,27
t000001,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/1/2019,10/11/2019,6/9/2020,10/15/2019,24
V150224,Conference and Event Planner (2014)-ON,Void,9/23/2019,,9/18/2020,10/17/2019,32
V149713,Paralegal (2014)-ON,Complete,3/4/2019,3/11/2019,10/25/2019,11/1/2019,0
V900839,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/7/2019,9/26/2020,10/26/2019,19
V149489,Paralegal (2014)-ON,Void,11/5/2018,,10/25/2019,,33
V900651,Accounting and Payroll Administrator (2013)-ON,Cancelled,5/13/2019,6/10/2019,1/18/2020,10/26/2019,16
391372,INDIVIDUAL CERTIFICATE,Void,10/1/2019,,10/1/2019,,0
V149732,Personal Support Worker (2016) - AOL,Cancelled,3/11/2019,3/11/2019,12/13/2019,10/8/2019,1
V149776,Immigration Consultant (2016) - ON,Cancelled,3/25/2019,3/27/2019,10/11/2019,10/5/2019,1
V150212,Computerized Accounting (2013)-ON,Cancelled,9/23/2019,9/24/2019,5/1/2020,10/18/2019,23
v150251a,Accounting and Payroll Administrator (2013)-ON,Void,9/30/2019,,6/6/2020,10/16/2019,24
V900536,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/23/2019,10/25/2019,6/11/2019,18
V900531,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,6/12/2019,22
V149434,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,10/8/2018,10/9/2018,10/11/2019,10/11/2019,0
v900711,Medical Office Assistant (Instr)-ON,Cancelled,1/1/2019,6/11/2019,10/29/2019,9/7/2019,15
V149730,Immigration Consultant (2016) - ON,Cancelled,3/18/2019,3/18/2019,10/4/2019,5/7/2019,12
V149592,Business Administration (2013)-ON,Complete,1/7/2019,1/7/2019,10/11/2019,10/10/2019,0
V149665,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/27/2019,10/18/2019,10/23/2019,0
v150086,Immigration Consultant (2016) - ON,Cancelled,8/12/2019,8/13/2019,3/13/2020,10/12/2019,9
V149568,Business Administration (2013)-ON,Cancelled,12/17/2018,12/17/2018,10/4/2019,7/13/2019,21
V149315,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,9/10/2018,9/10/2018,10/11/2019,10/18/2019,0
v149869,Medical Receptionist (2013)-ON,Complete,4/29/2019,4/29/2019,10/25/2019,10/25/2019,0
v150209,Personal Support Worker (2016) - AOL,Cancelled,9/10/2019,9/10/2019,5/12/2020,10/1/2019,17
v149581,Business Administration (2013)-ON,Cancelled,12/17/2018,12/19/2018,10/4/2019,3/1/2019,30
V900541,Personal Support Worker (2016) - AOL,Cancelled,1/21/2019,1/23/2019,10/25/2019,4/22/2019,13
V900539,Business Administration (2013)-ON,Cancelled,1/21/2019,1/24/2019,10/25/2019,7/16/2019,20
v900117,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,10/8/2019,32
v900649a,Law Clerk (2013)-ON,Void,10/5/2019,,10/10/2020,10/10/2019,27
V149471,Paralegal (2014)-ON,Cancelled,11/5/2018,11/7/2018,10/25/2019,2/5/2019,25
v150198,Business Administration (2013)-ON,Cancelled,9/16/2019,9/16/2019,6/20/2020,10/1/2019,30
V149384,Paralegal (2014)-ON,Complete,9/24/2018,9/24/2018,10/11/2019,10/11/2019,0
V900528,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/23/2019,10/25/2019,4/12/2019,16
V900218,Business Administration (2013)-ON,Cancelled,1/1/2019,11/13/2019,10/8/2019,1/14/2020,28
V149707,Personal Support Worker (2016) - AOL,Cancelled,3/11/2019,3/12/2019,12/13/2019,10/4/2019,4
V150225,Business Administration (2013)-ON,Cancelled,10/21/2019,10/21/2019,5/22/2020,10/22/2019,31
V149468,Paralegal (2014)-ON,Cancelled,10/29/2018,10/30/2018,10/18/2019,11/7/2018,33
V900537,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,6/10/2019,22
V149726,Immigration Consultant (2016) - ON,Complete,3/18/2019,3/18/2019,10/4/2019,10/5/2019,0
v900809b,Conference and Event Planner (2014)-ON,Void,8/9/2019,,7/25/2020,10/7/2019,32
v900809a,Conference and Event Planner (2014)-ON,Cancelled,8/9/2019,10/7/2019,7/25/2020,10/15/2019,32
v150169,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,8/27/2019,8/27/2019,7/24/2020,10/18/2019,22
V900667,Project Administration (2013)-ON,Cancelled,5/11/2019,5/27/2019,3/7/2020,10/26/2019,20
V149608,Business Administration (2013)-ON,Cancelled,1/7/2019,1/7/2019,10/11/2019,3/5/2019,28
v150208,Conference and Event Planner (2014)-ON,Cancelled,9/10/2019,9/10/2019,8/26/2020,10/1/2019,30
V149450,Medical Office Assistant with HUC Specialty (Instr)-ON,Void,10/22/2018,,10/11/2019,,23
v900647,Conference and Event Planner (2014)-ON,Cancelled,5/13/2019,5/27/2019,4/28/2020,10/19/2019,21
V900671,Business Administration (2013)-ON,Cancelled,5/11/2019,5/27/2019,2/15/2020,10/25/2019,18
V900999,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,10/10/2019,32
V149613,Personal Support Worker (2016) - AOL,Cancelled,1/28/2019,1/28/2019,11/1/2019,10/15/2019,3
V149679,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/25/2019,10/26/2019,0
V149951,Personal Support Worker (2016) - AOL,Complete,5/27/2019,5/27/2019,10/4/2019,10/4/2019,0
V149456,Web Designer (2015)-ON,Cancelled,10/22/2018,10/22/2018,10/11/2019,2/14/2019,20
V900535,Personal Support Worker (2016) - AOL,Cancelled,1/21/2019,1/21/2019,10/25/2019,8/19/2019,3
V149583,Business Administration (2013)-ON,Cancelled,1/7/2019,1/7/2019,10/11/2019,9/27/2019,11
V149621,Personal Support Worker (2016) - AOL,Complete,1/28/2019,1/29/2019,10/25/2019,10/25/2019,0
V149761,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/11/2019,0
v900980,Medical Office Assistant (Instr)-ON,In Progress,1/1/2019,10/8/2019,10/29/2019,,14
v900799,Network Administrator (2013)-ON,Cancelled,9/18/2019,10/7/2019,9/9/2020,10/8/2019,20
V900524,Business Administration (2013)-ON,Cancelled,1/21/2019,1/22/2019,10/25/2019,4/26/2019,24
V149462,Paralegal (2014)-ON,Void,11/5/2018,,10/25/2019,,33
v149922,Accounting and Payroll Administrator (2013)-ON,Cancelled,6/10/2019,6/10/2019,2/28/2020,10/16/2019,11
V149518,Project Administration (2013)-ON,Complete,11/26/2018,11/26/2018,10/4/2019,10/4/2019,0
V149740,Immigration Consultant (2016) - ON,Cancelled,3/18/2019,3/18/2019,10/4/2019,10/5/2019,2
V149570,Immigration Consultant (2016) - ON,Void,3/25/2019,,10/11/2019,,13
V149714,Paralegal (2014)-ON,Cancelled,12/3/2018,2/18/2019,10/25/2019,9/20/2019,5
V149553,Project Administration (2013)-ON,Complete,12/17/2018,12/17/2018,10/18/2019,10/13/2019,0
V149745,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/11/2019,0
