,Rep_Name,Leads,Appts,Shows,Enrols,Starts,App_Set,Show_Rate,Show_To_Enrollment,Enrollment_to_Start_Rate,Lead_to_Start,Month,Unique_Rep
1,Rep 2,215.0,60.0,16.0,0.0,0.0,27.91,26.67,0.0,0.0,0.0,January,Rep 2January
3,Rep 4,220.0,70.0,18.0,0.0,1.0,31.82,25.71,0.0,0.0,0.45,January,Rep 4January
8,Rep 9,198.0,59.0,13.0,0.0,11.0,29.8,22.03,0.0,0.0,5.56,January,Rep 9January
11,Rep 12,218.0,47.0,13.0,0.0,0.0,21.56,27.66,0.0,0.0,0.0,January,Rep 12January
16,Rep 17,250.0,109.0,46.0,0.0,30.0,43.6,42.2,0.0,0.0,12.0,January,Rep 17January
22,Rep 4,169.0,55.0,15.0,0.0,0.0,32.54,27.27,0.0,0.0,0.0,February,Rep 4February
25,Rep 7,174.0,56.0,16.0,0.0,0.0,32.18,28.57,0.0,0.0,0.0,February,Rep 7February
28,Rep 10,148.0,45.0,9.0,0.0,0.0,30.41,20.0,0.0,0.0,0.0,February,Rep 10February
30,Rep 12,169.0,52.0,13.0,0.0,0.0,30.77,25.0,0.0,0.0,0.0,February,Rep 12February
33,Rep 15,189.0,80.0,37.0,0.0,19.0,42.33,46.25,0.0,0.0,10.05,February,Rep 15February
38,Rep 3,107.0,43.0,16.0,1.0,0.0,40.19,37.21,6.25,0.0,0.0,March,Rep 3March
41,Rep 6,110.0,52.0,21.0,2.0,1.0,47.27,40.38,9.52,50.0,0.91,March,Rep 6March
42,Rep 7,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,March,Rep 7March
44,Rep 9,101.0,52.0,16.0,0.0,0.0,51.49,30.77,0.0,0.0,0.0,March,Rep 9March
47,Rep 12,110.0,43.0,9.0,0.0,0.0,39.09,20.93,0.0,0.0,0.0,March,Rep 12March
48,Rep 13,75.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,61.9,17.33,March,Rep 13March
51,Rep 16,116.0,75.0,29.0,1.0,0.0,64.66,38.67,3.45,0.0,0.0,March,Rep 16March
59,Rep 6,201.0,63.0,24.0,5.0,0.0,31.34,38.1,20.83,0.0,0.0,April,Rep 6April
64,Rep 11,203.0,52.0,18.0,19.0,11.0,25.62,34.62,105.56,57.89,5.42,April,Rep 11April
68,Rep 15,51.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,100.0,9.8,April,Rep 15April
71,Rep 18,259.0,123.0,57.0,45.0,29.0,47.49,46.34,78.95,64.44,11.2,April,Rep 18April
76,Rep 2,74.0,68.0,69.0,0.0,0.0,91.89,101.47,0.0,0.0,0.0,May,Rep 2May
79,Rep 5,224.0,57.0,18.0,0.0,0.0,25.45,31.58,0.0,0.0,0.0,May,Rep 5May
81,Rep 7,226.0,59.0,24.0,14.0,10.0,26.11,40.68,58.33,71.43,4.42,May,Rep 7May
85,Rep 11,82.0,18.0,2.0,68.0,65.0,21.95,11.11,3400.0,95.59,79.27,May,Rep 11May
89,Rep 15,270.0,132.0,70.0,42.0,31.0,48.89,53.03,60.0,73.81,11.48,May,Rep 15May
97,Rep 6,198.0,50.0,16.0,1.0,1.0,25.25,32.0,6.25,100.0,0.51,June,Rep 6June
99,Rep 8,199.0,30.0,9.0,9.0,5.0,15.08,30.0,100.0,55.56,2.51,June,Rep 8June
102,Rep 11,57.0,10.0,3.0,0.0,0.0,17.54,30.0,0.0,0.0,0.0,June,Rep 11June
103,Rep 12,109.0,4.0,4.0,38.0,38.0,3.67,100.0,950.0,100.0,34.86,June,Rep 12June
107,Rep 16,252.0,107.0,54.0,19.0,19.0,42.46,50.47,35.19,100.0,7.54,June,Rep 16June
115,Rep 5,275.0,68.0,31.0,8.0,5.0,24.73,45.59,25.81,62.5,1.82,July,Rep 5July
116,Rep 6,156.0,38.0,14.0,10.0,12.0,24.36,36.84,71.43,120.0,7.69,July,Rep 6July
118,Rep 8,98.0,26.0,5.0,1.0,0.0,26.53,19.23,20.0,0.0,0.0,July,Rep 8July
119,Rep 9,140.0,12.0,1.0,43.0,5.0,8.57,8.33,4300.0,11.63,3.57,July,Rep 9July
122,Rep 12,258.0,134.0,69.0,43.0,30.0,51.94,51.49,62.32,69.77,11.63,July,Rep 12July
129,Rep 3,314.0,76.0,28.0,10.0,3.0,24.2,36.84,35.71,30.0,0.96,August,Rep 3August
134,Rep 8,158.0,50.0,22.0,6.0,4.0,31.65,44.0,27.27,66.67,2.53,August,Rep 8August
135,Rep 9,204.0,1.0,10.0,14.0,40.0,0.49,1000.0,140.0,285.71,19.61,August,Rep 9August
138,Rep 12,169.0,104.0,63.0,39.0,34.0,61.54,60.58,61.9,87.18,20.12,August,Rep 12August
145,Rep 4,225.0,85.0,36.0,8.0,2.0,37.78,42.35,22.22,25.0,0.89,September,Rep 4September
148,Rep 7,74.0,26.0,13.0,4.0,3.0,35.14,50.0,30.77,75.0,4.05,September,Rep 7September
149,Rep 8,111.0,42.0,16.0,6.0,8.0,37.84,38.1,37.5,133.33,7.21,September,Rep 8September
150,Rep 9,183.0,5.0,1.0,10.0,3.0,2.73,20.0,1000.0,30.0,1.64,September,Rep 9September
152,Rep 11,141.0,43.0,20.0,5.0,7.0,30.5,46.51,25.0,140.0,4.96,September,Rep 11September
153,Rep 12,189.0,109.0,56.0,47.0,44.0,57.67,51.38,83.93,93.62,23.28,September,Rep 12September
160,Rep 2,92.0,121.0,126.0,0.0,0.0,131.52,104.13,0.0,0.0,0.0,October,Rep 2October
163,Rep 5,149.0,44.0,18.0,3.0,4.0,29.53,40.91,16.67,133.33,2.68,October,Rep 5October
165,Rep 7,63.0,26.0,10.0,9.0,6.0,41.27,38.46,90.0,66.67,9.52,October,Rep 7October
166,Rep 8,122.0,37.0,18.0,4.0,3.0,30.33,48.65,22.22,75.0,2.46,October,Rep 8October
167,Rep 9,148.0,12.0,8.0,135.0,135.0,8.11,66.67,1687.5,100.0,91.22,October,Rep 9October
168,Rep 10,90.0,88.0,81.0,83.0,78.0,97.78,92.05,102.47,93.98,86.67,October,Rep 10October
169,Rep 11,153.0,69.0,45.0,25.0,19.0,45.1,65.22,55.56,76.0,12.42,October,Rep 11October
170,Rep 12,173.0,92.0,49.0,27.0,29.0,53.18,53.26,55.1,107.41,16.76,October,Rep 12October
178,Rep 5,81.0,32.0,22.0,8.0,6.0,39.51,68.75,36.36,75.0,7.41,November,Rep 5November
182,Rep 9,108.0,42.0,27.0,19.0,12.0,38.89,64.29,70.37,63.16,11.11,November,Rep 9November
183,Rep 10,79.0,28.0,19.0,10.0,12.0,35.44,67.86,52.63,120.0,15.19,November,Rep 10November
184,Rep 11,164.0,52.0,24.0,62.0,34.0,31.71,46.15,258.33,54.84,20.73,November,Rep 11November
186,Rep 13,124.0,59.0,30.0,22.0,20.0,47.58,50.85,73.33,90.91,16.13,November,Rep 13November
188,Rep 15,157.0,92.0,52.0,25.0,22.0,58.6,56.52,48.08,88.0,14.01,November,Rep 15November
198,Rep 8,59.0,24.0,10.0,8.0,8.0,40.68,41.67,80.0,100.0,13.56,December,Rep 8December
200,Rep 10,62.0,1.0,28.0,5.0,27.0,1.61,2800.0,17.86,540.0,43.55,December,Rep 10December
204,Rep 14,82.0,61.0,40.0,30.0,9.0,74.39,65.57,75.0,30.0,10.98,December,Rep 14December
